"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CANCELLED","DIVERTED","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14831,1483106,32457,"SJC","San Jose, CA","1730","1758",28.00,28.00,1.00,0.00,0.00,106.00,696.00,18.00,0.00,0.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","1700","1650",-10.00,0.00,0.00,0.00,0.00,130.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","0615","0613",-2.00,0.00,0.00,0.00,0.00,166.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","0725","0719",-6.00,0.00,0.00,0.00,0.00,135.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","0745","0809",24.00,24.00,1.00,0.00,0.00,155.00,1050.00,0.00,0.00,32.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","0945","0941",-4.00,0.00,0.00,0.00,0.00,137.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12889,1288903,32211,"LAS","Las Vegas, NV",14747,1474703,30559,"SEA","Seattle, WA","1950","1950",0.00,0.00,0.00,0.00,0.00,126.00,867.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","1140","1210",30.00,30.00,1.00,0.00,0.00,135.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","1115","1111",-4.00,0.00,0.00,0.00,0.00,145.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","1336","1334",-2.00,0.00,0.00,0.00,0.00,148.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","1820","1811",-9.00,0.00,0.00,0.00,0.00,136.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","0740","0740",0.00,0.00,0.00,0.00,0.00,105.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","2150","2147",-3.00,0.00,0.00,0.00,0.00,128.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","2045","2035",-10.00,0.00,0.00,0.00,0.00,128.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","1540","1537",-3.00,0.00,0.00,0.00,0.00,96.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","0655","",,,,1.00,0.00,,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14771,1477104,32457,"SFO","San Francisco, CA",14747,1474703,30559,"SEA","Seattle, WA","2015","2014",-1.00,0.00,0.00,0.00,0.00,94.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14771,1477104,32457,"SFO","San Francisco, CA",14747,1474703,30559,"SEA","Seattle, WA","1725","1734",9.00,9.00,0.00,0.00,0.00,96.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","0600","0558",-2.00,0.00,0.00,0.00,0.00,129.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","1655","1719",24.00,24.00,1.00,0.00,0.00,101.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","0850","0848",-2.00,0.00,0.00,0.00,0.00,125.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14771,1477104,32457,"SFO","San Francisco, CA",14747,1474703,30559,"SEA","Seattle, WA","0600","0559",-1.00,0.00,0.00,0.00,0.00,97.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","1955","1947",-8.00,0.00,0.00,0.00,0.00,105.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12892,1289208,32575,"LAX","Los Angeles, CA",14747,1474703,30559,"SEA","Seattle, WA","0800","0749",-11.00,0.00,0.00,0.00,0.00,140.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","1015","1017",2.00,2.00,0.00,0.00,0.00,124.00,954.00,,,,,,
